,股票代码,公司名称,营业收入,净利润,净资产收益率(%)
0,300475,聚隆科技,4.81亿,9663万,8.80
1,000982,*ST中绒,33.12亿,-10.60亿,-44.42
2,000939,凯迪生态,50.01亿,3.34亿,4.24
3,000693,*ST华泽,20.56亿,-4.02亿,-38.33
4,002541,鸿路钢构,36.21亿,1.46亿,4.89
5,002492,恒基达鑫,2.09亿,4437万,3.93
6,600362,江西铜业,2023亿,7.84亿,1.70
7,002481,双塔食品,18.45亿,5693万,2.19
8,002477,雏鹰农牧,60.90亿,8.33亿,17.55
9,002422,科伦药业,85.66亿,5.85亿,5.21
10,600143,金发科技,180亿,7.37亿,8.62
11,002932,明德生物,1.41亿,5969万,41.10
12,002149,西部材料,12.13亿,2122万,1.83
13,000598,兴蓉环境,30.58亿,8.74亿,10.22
14,000979,中弘股份,44.52亿,1.57亿,1.78
15,600461,洪城水业,30.91亿,2.32亿,8.28
16,600399,*ST抚钢,46.78亿,-4410万,-17.25
17,002857,三晖电气,2.01亿,4008万,18.86
18,603706,东方环宇,3.25亿,1.43亿,34.31
19,603105,芯能科技,11.49亿,7771万,10.65
20,601015,陕西黑猫,55.58亿,2.14亿,7.25
21,002473,*ST圣莱,9521万,-3474万,-9.74
22,603713,密尔克卫,9.39亿,5603万,10.35
23,603603,博天环境,25.19亿,1.44亿,17.42
24,002601,龙蟒佰利,41.84亿,4.42亿,8.91
25,002177,御银股份,7.71亿,2325万,1.40
26,000529,广弘控股,20.67亿,1.06亿,8.85
27,000638,万方发展,1.56亿,1044万,4.72
28,000157,中联重科,200亿,-9.34亿,-2.44
29,000586,汇源通信,4.55亿,302万,1.29
30,002709,天赐材料,18.37亿,3.96亿,28.82
31,200160,东沣B,3.68亿,376万,1.06
32,002369,卓翼科技,26.98亿,1682万,1.25
33,002358,森源电气,29.53亿,3.31亿,10.88
34,000550,江铃汽车,266亿,13.18亿,10.74
35,200550,江铃B,266亿,13.18亿,10.74
36,600652,游久游戏,3.08亿,1.17亿,5.52
37,000409,*ST地矿,22.17亿,-1.94亿,-18.74
38,002692,睿康股份,25.33亿,9104万,6.41
39,000778,新兴铸管,522亿,4.40亿,2.40
40,002773,康弘药业,25.40亿,4.97亿,18.41
41,200530,大冷B,18.93亿,1.82亿,5.98
42,000530,大冷股份,18.93亿,1.82亿,5.98
43,000518,四环生物,3.27亿,447万,0.73
44,000650,仁和药业,35.67亿,3.72亿,14.56
45,603693,江苏新能,11.46亿,2.92亿,10.01
46,000670,盈方微,4.76亿,2417万,3.76
47,600966,博汇纸业,77.96亿,2.01亿,5.01
48,600290,华仪电气,17.72亿,-4842万,-1.17
49,000998,隆平高科,22.99亿,5.01亿,9.49
50,000713,丰乐种业,12.18亿,2138万,1.55
51,600392,盛和资源,13.71亿,-3285万,-2.76
52,600289,*ST信通,13.31亿,1.30亿,5.51
53,000833,贵糖股份,17.92亿,3874万,1.47
54,002695,煌上煌,12.18亿,8820万,5.66
55,603766,隆鑫通用,84.83亿,8.66亿,15.47
56,002497,雅化集团,15.79亿,1.34亿,5.95
57,600862,中航高科,29.12亿,7342万,2.22
58,601012,隆基股份,115亿,15.47亿,21.77
59,300023,宝德股份,6.77亿,6285万,6.20
60,300139,晓程科技,2.25亿,2799万,2.17
61,000668,荣丰控股,1300万,-4094万,-6.53
62,000783,长江证券,58.57亿,22.07亿,10.97
63,002106,莱宝高科,33.54亿,2.12亿,5.95
64,000573,粤宏远A,11.25亿,1.97亿,12.30
65,000058,深赛格,14.60亿,2.46亿,11.15
66,000911,南宁糖业,35.89亿,1898万,1.19
67,000789,万年青,56.58亿,2.29亿,8.44
68,002872,天圣制药,20.87亿,2.24亿,13.26
69,002505,大康农业,62.23亿,7622万,1.32
70,002276,万马股份,63.80亿,2.15亿,7.16
71,000520,长航凤凰,7.12亿,972万,3.72
72,000571,新大洲A,8.70亿,3285万,1.49
73,600728,佳都科技,28.48亿,1.08亿,4.36
74,000413,东旭光电,76.32亿,13.04亿,7.55
75,002792,通宇通讯,12.19亿,2.09亿,11.29
76,002812,创新股份,11.46亿,1.65亿,9.20
77,300291,华录百纳,25.75亿,3.78亿,8.26
78,002635,安洁科技,18.28亿,3.87亿,15.39
79,002096,南岭民爆,26.61亿,3385万,1.49
80,300262,巴安水务,10.30亿,1.41亿,13.53
81,603587,地素时尚,18.16亿,5.22亿,55.27
82,002723,金莱特,7.70亿,659万,1.02
83,002074,国轩高科,47.58亿,10.31亿,29.86
84,000636,风华高科,27.74亿,8611万,1.88
85,600365,通葡股份,5.94亿,207万,0.30
86,000766,通化金马,8.50亿,2.13亿,5.71
87,002668,奥马电器,50.41亿,3.05亿,16.17
88,002545,东方铁塔,16.58亿,1.36亿,4.08
89,000608,阳光股份,6.40亿,-4.68亿,-15.20
90,600069,银鸽投资,23.43亿,-3.99亿,-17.98
91,000961,中南建设,344亿,3.39亿,3.22
92,000953,ST河化,3.98亿,-1.42亿,-379.54
93,000768,中航飞机,261亿,4.13亿,2.70
94,002569,步森股份,3.70亿,660万,1.26
95,002645,华宏科技,10.06亿,6303万,4.14
96,002290,中科新材,10.50亿,2797万,3.01
97,002235,安妮股份,4.31亿,1166万,1.48
98,002249,大洋电机,68.05亿,5.09亿,6.66
99,002209,达意隆,7.84亿,-4532万,-7.11
100,002122,*ST天马,21.58亿,-2.52亿,-5.48
101,000723,美锦能源,71.10亿,6.80亿,10.31
102,600151,航天机电,54.48亿,2.02亿,4.16
103,600691,阳煤化工,166亿,-9.09亿,-21.92
104,000820,神雾节能,8.65亿,3.33亿,62.66
105,000892,欢瑞世纪,7.39亿,2.65亿,24.89
106,603680,今创集团,25.72亿,6.44亿,30.80
107,601200,上海环境,25.51亿,4.65亿,9.98
108,300440,运达科技,6.12亿,1.39亿,11.27
109,600401,*ST海润,45.19亿,-13.13亿,-0.30
110,002538,司尔特,28.18亿,2.44亿,7.91
111,002496,辉丰股份,31.16亿,1.74亿,5.25
112,000428,华天酒店,10.04亿,-2.89亿,-9.50
113,000901,航天科技,54.82亿,1.03亿,4.40
114,000893,*ST东凌,24.00亿,1952万,0.45
115,000762,西藏矿业,6.96亿,2127万,1.06
116,300682,朗新科技,7.50亿,1.22亿,15.40
117,603650,彤程新材,17.33亿,2.63亿,35.40
118,300493,润欣科技,15.39亿,4931万,10.68
119,300392,腾信股份,13.49亿,-2.66亿,-41.96
120,603843,正平股份,21.15亿,9074万,10.16
121,002301,齐心集团,28.65亿,1.05亿,8.88
122,002412,汉森制药,7.98亿,8494万,6.74
123,000691,亚太实业,4624万,135万,1.65
124,000532,华金资本,3.10亿,4085万,5.83
125,000852,石化机械,34.44亿,-8.29亿,-38.96
126,000957,中通客车,92.57亿,5.86亿,24.74
127,600187,国中水务,3.58亿,1619万,0.63
128,600525,长园集团,58.49亿,6.40亿,10.28
129,002902,铭普光磁,14.07亿,9065万,18.34
130,300747,锐科激光,5.23亿,8904万,37.45
131,000806,银河生物,12.05亿,1287万,0.64
132,600260,凯乐科技,84.21亿,1.82亿,6.27
133,603959,百利科技,7.69亿,1.06亿,15.34
134,002674,兴业科技,25.66亿,6312万,3.42
135,601113,华鼎股份,21.43亿,7273万,2.66
136,601777,力帆股份,110亿,8260万,1.22
137,002226,江南化工,13.52亿,6131万,1.93
138,000737,*ST南风,21.35亿,2094万,13.20
139,600634,*ST富控,23.41亿,1.72亿,6.40
140,603090,宏盛股份,2.30亿,3985万,12.72
141,300173,智慧松德,7.32亿,7440万,4.61
142,300233,金城医药,14.20亿,1.59亿,11.72
143,000422,*ST宜化,152亿,-12.49亿,-20.06
144,600682,南京新百,170亿,4.64亿,15.56
145,600575,皖江物流,67.54亿,4.73亿,10.48
146,300554,三超新材,1.56亿,3792万,18.43
147,300465,高伟达,9.73亿,2311万,3.06
148,300511,雪榕生物,9.99亿,1.05亿,9.94
149,002456,欧菲科技,267亿,7.19亿,10.87
150,600740,山西焦化,40.38亿,4422万,2.19
151,300268,佳沃股份,687万,588万,2.83
152,300195,长荣股份,11.45亿,1.38亿,5.76
153,002179,中航光电,58.55亿,7.34亿,19.57
154,300167,迪威迅,4.46亿,2939万,4.13
155,000521,美菱电器,125亿,2.20亿,5.77
156,000685,中山公用,14.63亿,9.63亿,8.72
157,000533,万家乐,43.38亿,2.27亿,15.26
158,600891,秋林集团,63.60亿,2.05亿,7.26
159,600744,华银电力,64.05亿,1.88亿,4.64
160,000886,海南高速,3.51亿,6326万,2.50
161,300702,天宇股份,10.82亿,1.22亿,22.25
162,603588,高能环境,15.65亿,1.56亿,8.24
163,300232,洲明科技,17.46亿,1.66亿,14.03
164,600721,百花村,7.45亿,1.39亿,17.38
165,000755,*ST三维,38.52亿,-6.75亿,-76.99
166,600351,亚宝药业,18.06亿,2252万,0.85
167,600687,刚泰控股,107亿,4.96亿,9.18
168,601066,中信建投,133亿,52.59亿,18.10
169,603429,集友股份,1.87亿,5280万,29.94
170,300673,佩蒂股份,5.51亿,8037万,22.26
171,300354,东华测试,1.30亿,198万,0.58
172,300288,朗玛信息,3.98亿,8515万,8.07
173,600500,中化国际,539亿,1.87亿,1.53
174,002483,润邦股份,28.24亿,8384万,3.52
175,300107,建新股份,3.31亿,2275万,2.50
176,002399,海普瑞,22.61亿,3.97亿,4.84
177,600478,科力远,17.00亿,-2.12亿,-15.19
178,600217,中再资环,14.61亿,1.40亿,14.57
179,603032,德新交运,2.56亿,5076万,21.53
180,300750,宁德时代,149亿,28.52亿,69.55
181,603666,亿嘉和,2.62亿,5486万,38.23
182,601330,绿色动力,6.64亿,2.31亿,11.60
183,300385,雪浪环境,6.96亿,8871万,12.05
184,300242,佳云科技,28.24亿,1.82亿,8.91
185,002581,未名医药,12.65亿,4.18亿,18.21
186,002680,长生生物,10.18亿,4.25亿,12.15
187,300132,青松股份,5.57亿,3273万,5.30
188,000049,德赛电池,87.24亿,2.55亿,24.60
189,300317,珈伟股份,27.94亿,3.14亿,8.98
