,code,name,income_2015,profit_2015,roe_2015(%),income_2016,profit_2016,roe_2016(%),income_2017,profit_2017,roe_2017(%)
0,002932,明德生物,9534万,3560万,44.5,1.41亿,5969万,41.1,1.65亿,6549万,31.51
1,600461,洪城水业,30.90亿,2.57亿,11.14,30.91亿,2.32亿,8.28,35.44亿,2.74亿,8.74
2,603706,东方环宇,3.49亿,9501万,32.13,3.25亿,1.43亿,34.31,4.45亿,9657万,18.83
3,603105,芯能科技,16.03亿,1.20亿,87.44,11.49亿,7771万,10.65,9.36亿,1.16亿,12.12
4,603713,密尔克卫,6.30亿,5135万,14.26,9.39亿,5603万,10.35,12.91亿,8369万,12.47
5,000789,万年青,55.83亿,2.49亿,9.72,56.58亿,2.29亿,8.44,70.94亿,4.63亿,15.61
6,603587,地素时尚,18.52亿,5.03亿,63.7,18.16亿,5.22亿,55.27,19.46亿,4.80亿,43.98
7,603650,彤程新材,15.60亿,7662万,19.2,17.33亿,2.63亿,35.4,19.01亿,3.15亿,27.99
8,300747,锐科激光,3.13亿,2464万,14.04,5.23亿,8904万,37.45,9.52亿,2.77亿,70.45
9,601066,中信建投,190亿,86.39亿,40.0,133亿,52.59亿,18.1,113亿,40.15亿,9.9
10,300750,宁德时代,57.03亿,9.31亿,130.37,149亿,28.52亿,69.55,200亿,38.78亿,18.99
11,603666,亿嘉和,1.90亿,1351万,23.14,2.62亿,5486万,38.23,3.74亿,1.39亿,51.41
12,601330,绿色动力,5.18亿,1.51亿,8.35,6.64亿,2.31亿,11.6,7.85亿,2.06亿,9.55
13,601138,工业富联,2728亿,144亿,27.67,2727亿,144亿,20.93,3545亿,159亿,18.87
14,300746,汉嘉设计,4.95亿,4817万,9.1,5.02亿,4768万,9.27,7.26亿,6049万,10.64
15,300454,深信服,13.19亿,3.30亿,29.07,17.50亿,2.58亿,13.21,24.72亿,5.74亿,39.44
16,603045,福达合金,8.49亿,4106万,10.08,10.37亿,4627万,10.46,12.55亿,5476万,11.41
17,300745,欣锐科技,3.46亿,9190万,74.0,5.85亿,1.26亿,39.17,4.91亿,9150万,13.98
18,600029,南方航空,1115亿,38.51亿,10.38,1148亿,50.56亿,12.28,1275亿,59.14亿,12.84
19,000006,深振业A,36.54亿,4.17亿,9.77,33.59亿,7.79亿,16.56,29.59亿,8.06亿,15.24
20,002323,雅百特,4.44亿,6933万,19.52,12.85亿,2.39亿,44.85,13.77亿,2.64亿,35.21
